radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,641,14,1000,11691,,32.574354,0.315068,0,1,1,1459778906,1459778906,
UMTS,641,10,6008,132064,,32.550823,0.403497,68,12,1,1366333441,1376640397,-105
UMTS,641,10,6008,147155,452,32.554704,0.403036,1901,47,1,1366334367,1470719452,-96
GSM,641,10,110,996,,32.550875,0.403657,0,1,1,1366736820,1366736820,-97
GSM,641,10,110,16083,,32.550868,0.403686,0,1,1,1366736820,1366736820,-85
GSM,641,10,6008,16083,,32.569053,0.408037,2082,72,1,1366738394,1472043991,-77
UMTS,641,10,6008,139699,42,32.574481,0.392492,2912,2,1,1366743170,1458620074,
UMTS,641,10,6007,131194,63,32.563401,0.233363,91,17,1,1367170488,1458620069,-105
UMTS,641,10,6008,138545,79,32.551716,0.39642,1077,50,1,1376638426,1470719452,-90
UMTS,641,10,6008,146634,321,32.550348,0.392852,1230,24,1,1376640371,1470719452,-79
UMTS,641,10,6008,138549,189,32.553392,0.395367,1568,54,1,1376640713,1470719452,-92
UMTS,641,10,6008,146638,421,32.549464,0.394296,1158,33,1,1376640739,1458620075,-81
UMTS,641,10,6008,138547,173,32.561393,0.399849,1155,3,1,1376641656,1472364767,-91
GSM,641,10,2013,16083,,32.560074,0.405029,47,9,1,1376649777,1383655404,-80
GSM,641,10,807,7471,,32.559271,0.404636,1866,59,1,1376649782,1458931557,-78
GSM,641,10,2013,11117,,32.552979,0.402309,856,5,1,1376649812,1383655419,-81
GSM,641,10,2013,11113,,32.553482,0.403744,1884,8,1,1376649813,1458931562,-82
GSM,641,10,1203,651,,33.751576,0.566893,35,13,1,1382558876,1382593814,-97
UMTS,641,10,6002,66188,,33.751511,0.566805,0,1,1,1382593814,1382593814,-109
GSM,641,10,6002,441,,33.75151,0.566815,0,1,1,1382593814,1382593814,-83
GSM,641,10,1203,441,,33.751509,0.566812,0,1,1,1382593814,1382593814,-99
UMTS,641,10,6007,412387,471,32.47609,0.066629,18,4,1,1462090072,1466439147,
GSM,641,10,2013,11112,,32.55802,0.406019,1633,7,1,1383655401,1458931562,-87
GSM,641,10,2013,15562,,32.557389,0.401808,610,10,1,1383655402,1383655404,-82
GSM,641,10,807,8021,,32.551289,0.397987,0,1,1,1383655403,1383655403,-91
GSM,641,10,2013,996,,32.556433,0.403482,4024,14,1,1383655403,1458931562,-84
GSM,641,10,2013,11116,,32.560231,0.404945,1,2,1,1383655404,1383655404,-86
GSM,641,10,201,3065,,32.605204,0.336469,7288,1511,1,1239165076,1239165201,
GSM,641,10,201,12163,,32.60546,0.336614,648,588,1,1239165076,1239165201,
GSM,641,10,201,3061,,32.605252,0.336467,1684,75,1,1239165078,1239165198,
GSM,641,10,201,3064,,32.605354,0.336594,43,36,1,1239165080,1239165174,
GSM,641,10,103,8461,,32.580272,0.31559,64,27,1,1239165080,1239165081,
GSM,641,10,103,1661,,32.579844,0.315041,7,3,1,1239165081,1239165081,
GSM,641,10,103,1665,,32.57947,0.314568,57,13,1,1239165081,1239165081,
GSM,641,10,103,1667,,32.579686,0.31388,78,31,1,1239165081,1239165081,
GSM,641,10,103,1666,,32.580699,0.313585,104,35,1,1239165081,1239165082,
GSM,641,10,103,1662,,32.58045,0.313735,0,1,1,1239165081,1239165081,
GSM,641,10,103,8463,,32.581506,0.313069,11,6,1,1239165082,1239165083,
GSM,641,10,103,1107,,32.58213,0.312403,136,71,1,1239165083,1239165084,
GSM,641,10,103,10322,,32.581368,0.310932,81,52,1,1239165084,1239165084,
GSM,641,10,103,1767,,32.581377,0.31068,37,4,1,1239165084,1239165084,
GSM,641,10,103,1765,,32.584589,0.311813,0,1,1,1239165084,1239165084,
GSM,641,10,103,2287,,32.585896,0.311894,32,5,1,1239165085,1239165085,
GSM,641,10,103,2286,,32.587564,0.3121,42,8,1,1239165085,1239165085,
GSM,641,10,103,886,,32.588609,0.313514,11,3,1,1239165085,1239165085,
GSM,641,10,103,737,,32.588309,0.317088,3,2,1,1239165086,1239165086,
GSM,641,10,103,732,,32.59087,0.319377,350,148,1,1239165086,1239165191,
GSM,641,10,103,735,,32.589139,0.32322,1184,199,1,1239165086,1239165191,
GSM,641,10,102,7983,,32.591074,0.31964,366,68,1,1239165086,1239165191,
GSM,641,10,102,7987,,32.591168,0.319658,205,120,1,1239165086,1239165191,
GSM,641,10,201,10342,,32.604297,0.332082,579,38,1,1239165133,1239165185,
GSM,641,10,103,1745,,32.59345,0.318337,263,72,1,1239165135,1239165138,
GSM,641,10,103,23,,32.591691,0.319658,88,5,1,1239165135,1239165173,
GSM,641,10,102,7982,,32.592382,0.31861,260,28,1,1239165135,1239165191,
GSM,641,10,103,1741,,32.593671,0.31805,163,35,1,1239165135,1239165138,
GSM,641,10,102,7986,,32.593974,0.317993,19,29,1,1239165136,1239165138,
GSM,641,10,103,1742,,32.594021,0.318046,0,1,1,1239165138,1239165138,
GSM,641,10,201,1054,,32.617119,0.347547,1070,138,1,1239165142,1239165145,
GSM,641,10,201,3347,,32.615729,0.355761,162,25,1,1239165145,1239165146,
GSM,641,10,201,97,,32.614313,0.355366,6,3,1,1239165146,1239165146,
GSM,641,10,201,2712,,32.609432,0.353092,960,105,1,1239165146,1239165147,
GSM,641,10,201,4102,,32.600687,0.348393,7560,175,1,1239165148,1239165161,
GSM,641,10,103,21,,32.58985,0.325886,476,6,1,1239165156,1239165188,
GSM,641,10,201,2851,,32.587634,0.334135,97,8,1,1239165157,1239165157,
GSM,641,10,201,2855,,32.587542,0.336175,153,11,1,1239165157,1239165157,
GSM,641,10,201,2916,,32.588597,0.341119,1413,55,1,1239165157,1239165159,
GSM,641,10,201,2915,,32.588251,0.341086,195,11,1,1239165158,1239165158,
GSM,641,10,201,2911,,32.589012,0.341759,0,1,1,1239165158,1239165158,
GSM,641,10,201,3066,,32.597687,0.346927,0,1,1,1239165159,1239165159,
GSM,641,10,201,3067,,32.603906,0.341662,131,7,1,1239165161,1239165161,
GSM,641,10,201,12161,,32.606203,0.339461,206,18,1,1239165161,1239165161,
GSM,641,10,102,2367,,32.599202,0.327932,580,8,1,1239165168,1239165187,
GSM,641,10,102,1605,,32.603787,0.329877,356,54,1,1239165168,1239165187,
GSM,641,10,102,1601,,32.604709,0.3312,439,47,1,1239165168,1239165186,
GSM,641,10,102,1603,,32.602577,0.327545,34,7,1,1239165169,1239165169,
GSM,641,10,102,2363,,32.599988,0.327258,468,51,1,1239165169,1239165187,
GSM,641,10,103,15,,32.596499,0.324742,98,12,1,1239165169,1239165169,
GSM,641,10,102,7985,,32.593708,0.325206,324,11,1,1239165169,1239165187,
GSM,641,10,103,736,,32.590247,0.318997,193,26,1,1239165171,1239165173,
GSM,641,10,103,11,,32.596719,0.324735,38,7,1,1239165187,1239165187,
GSM,641,10,103,731,,32.586882,0.323699,590,4,1,1239165190,1239165192,
GSM,641,10,201,2856,,32.583637,0.3261,253,7,1,1239165192,1239165192,
GSM,641,10,201,1686,,32.574187,0.33033,149,29,1,1239165192,1239165192,
GSM,641,10,201,4221,,32.571926,0.329173,87,10,1,1239165192,1239165192,
GSM,641,10,201,5485,,32.570375,0.327654,227,24,1,1239165193,1239165193,
GSM,641,10,201,5487,,32.56914,0.325737,42,7,1,1239165193,1239165193,
GSM,641,10,201,10046,,32.567029,0.325366,190,76,1,1239165193,1239165195,
GSM,641,10,201,10042,,32.562377,0.331431,2488,8,1,1239165195,1239165195,
GSM,641,10,201,1892,,32.566429,0.325257,0,1,1,1239165195,1239165195,
GSM,641,10,201,1896,,32.566223,0.325026,0,1,1,1239165195,1239165195,
GSM,641,10,402,6482,,30.89182,2.599265,0,1,1,1239165201,1239165201,
GSM,641,10,103,5331,,32.588591,0.319942,148,217,1,1239165201,1239165205,
UMTS,641,14,300,76401,,32.582436,0.306203,8,6,1,1324052846,1324053063,
UMTS,641,14,300,50594049,,32.582426,0.306212,2,3,1,1324052863,1324053004,
UMTS,641,14,300,76404,,32.582001,0.306605,66,2,1,1324052896,1458620080,
UMTS,641,14,300,76343,,32.583348,0.30574,118,2,1,1324053047,1458620080,
GSM,641,10,604,143,,32.461718,0.073581,19,2,1,1338587218,1339533452,
GSM,641,10,604,15861,,32.461886,0.07355,1,2,1,1338587270,1338748102,
GSM,641,10,604,133,,32.54554,0.150681,0,1,1,1338635938,1338635938,
GSM,641,10,805,13601,,32.574138,0.331646,405,2,1,1338815849,1458931557,
GSM,641,1,8000,57,,32.598897,0.29846,0,1,1,1340959091,1340959091,
GSM,641,10,604,8581,,32.476067,0.070029,0,1,1,1341378995,1341378995,
UMTS,641,10,6009,140295,40,32.894851,2.229496,545,6,1,1361290824,1458620078,
UMTS,641,1,8000,6626164,,32.458198,0.048723,27,5,1,1361480378,1361481786,
UMTS,641,1,8000,6626194,,32.458171,0.048757,22,4,1,1361480496,1361481846,
UMTS,641,10,6002,75738,,34.192484,0.6683,60,4,1,1361556737,1361557035,
UMTS,641,10,6003,70038,,32.517425,0.308705,72,3,1,1361595866,1361596047,
UMTS,641,10,6005,67471,,32.670631,0.353184,1752,3,1,1361809677,1458620064,
UMTS,641,10,6005,66632,,32.690503,0.359377,190,2,1,1361809737,1361809797,
UMTS,641,10,6005,69371,174,32.683247,0.340174,5903,3,1,1361809868,1458620065,
UMTS,641,22,114,76038,,32.561413,0.333976,585,5,1,1362007099,1372196290,
UMTS,641,22,114,50594049,,32.619107,0.338547,6403,3,1,1362007337,1382771739,
UMTS,641,14,300,76865,,32.579083,0.3436,326,4,1,1362064450,1471314621,
UMTS,641,14,302,141980,,32.566911,0.343559,1276,4,1,1362064858,1413386308,-103
UMTS,641,14,300,76862,,32.579767,0.346107,386,5,1,1362065249,1471314620,
GSM,641,1,900,6021,,30.957925,3.426241,2,3,1,1362148061,1362148321,
GSM,641,1,900,6022,,30.957925,3.426236,0,1,1,1362148124,1362148124,
GSM,641,10,903,7801,,30.960769,3.41537,20,8,1,1362239206,1362301152,
UMTS,641,10,6007,143333,,32.581759,0.207025,5,4,1,1362240044,1362240285,
UMTS,641,10,6007,146454,,32.581701,0.20699,0,1,1,1362240164,1362240164,
UMTS,641,14,302,141320,,32.649967,0.384173,5,2,1,1362425231,1362425289,
UMTS,641,14,302,141319,,32.649944,0.38421,0,1,1,1362425346,1362425346,
GSM,641,10,801,5843,,34.09754,0.466525,0,1,1,1362580553,1362580553,
UMTS,641,1,8000,6619454,,32.590084,0.342152,2,4,1,1362583717,1362583949,
UMTS,641,14,302,161308,,31.727903,-0.34637,1,3,1,1362653758,1362653937,
UMTS,641,14,302,161516,,31.734255,-0.339883,1009,2,1,1362653877,1458620082,
UMTS,641,11,7000,65601691,,32.477018,0.060192,0,1,1,1362751908,1362751908,
GSM,641,22,332,55043,,32.847977,0.647697,63,3,1,1362855473,1363098697,
GSM,641,11,1001,10582,,33.241134,0.468854,2796,2,1,1362997076,1458931566,
GSM,641,22,332,55041,,32.847428,0.647543,0,1,1,1363098637,1363098637,
GSM,641,10,602,13665,,32.82609,0.675886,16,4,1,1363505522,1363505705,
UMTS,641,10,6005,66587,216,32.618503,0.349106,857,17,1,1363609129,1472658943,-70
GSM,641,10,602,13667,,32.847927,0.647125,5,4,1,1363790502,1363790738,
GSM,641,10,602,13663,,32.847925,0.64714,8,6,1,1363791083,1363791383,
UMTS,641,22,114,86579,,32.462884,0.051945,4,3,1,1364285889,1364286013,
UMTS,641,22,114,86578,,32.462898,0.051997,0,1,1,1364286071,1364286071,
UMTS,641,10,6005,79443,,32.617555,0.323213,55,8,1,1364568128,1458620068,
UMTS,641,10,6005,79439,,32.617572,0.323184,56,5,1,1364583116,1458620068,
UMTS,641,10,6007,136187,,32.565114,0.258006,11,3,1,1364655749,1364655865,
UMTS,641,14,300,75574,,32.632265,0.309799,7,2,1,1364755631,1364755690,
UMTS,641,14,300,76335,222,32.616027,0.306685,1849,3,1,1364755873,1467827210,
UMTS,641,10,6008,135174,326,32.602157,0.349164,173,8,1,1364893672,1472836261,
UMTS,641,10,6005,66591,216,32.61378,0.340632,677,4,1,1365170592,1472658943,
GSM,641,10,701,715,,32.57918,0.313054,5,2,1,1365541766,1365542005,
GSM,641,10,701,8017,,32.579202,0.313056,0,1,1,1365541826,1365541826,
GSM,641,10,701,1667,,32.579124,0.313005,0,1,1,1365541886,1365541886,
UMTS,641,10,6001,70288,36,32.579399,0.313539,133,4,1,1365552298,1458620057,
UMTS,641,10,6001,75859,,32.579616,0.312459,99,2,1,1365552357,1458620058,
GSM,641,10,701,8016,,32.579445,0.313388,0,1,1,1365552478,1365552478,
UMTS,641,10,6001,70289,,32.579246,0.312987,0,1,1,1365552598,1365552598,
UMTS,641,14,300,75594,,32.620095,0.270649,0,1,1,1365611606,1365611606,
UMTS,641,10,6008,134368,494,32.62032,0.366481,705,5,1,1365741096,1472364767,
GSM,641,10,2003,4912,,32.652895,0.298453,58,9,1,1365807042,1373103902,
UMTS,641,10,6005,69111,145,32.624474,0.24023,42,2,1,1366206781,1458620065,
UMTS,641,10,6007,132654,,32.624691,0.239809,9,3,1,1366206841,1366207020,
GSM,641,10,808,12165,,32.615713,0.355051,0,1,1,1366296162,1366296162,
GSM,641,10,809,3343,,32.617684,0.354142,270,2,1,1366296223,1458931558,
UMTS,641,10,6008,133783,,32.613215,0.355536,270,3,1,1366296284,1469512108,
GSM,641,10,809,93,,32.61489,0.354817,176,3,1,1366296343,1458931557,
UMTS,641,1,8000,6620025,,32.604731,0.291397,5,3,1,1366490081,1366490199,
UMTS,641,10,6009,131323,,30.644636,-0.610216,1613,49,1,1366532455,1431884636,
GSM,641,10,2002,3123,,32.599846,0.294245,170,2,1,1366809585,1458931562,
UMTS,641,10,6005,66609,41,32.59977,0.29448,296,3,1,1366809643,1458620063,
GSM,641,14,1050,10981,,32.600836,0.341825,9,3,1,1366811242,1366811361,
GSM,641,14,1050,10702,,32.600806,0.34182,4,2,1,1366811422,1366811485,
GSM,641,11,1004,45012,,32.625392,0.261468,1917,6,1,1367411972,1458931566,
GSM,641,11,1004,45011,,32.62492,0.257794,674,4,1,1367413197,1458931566,
GSM,641,1,100,472,,32.617748,0.273324,20,5,1,1367450102,1367450962,
UMTS,641,1,8000,6620325,,32.662698,0.384421,8,5,1,1367629238,1367629479,
UMTS,641,10,6001,68393,,32.580573,0.331581,7,11,1,1367847164,1367850608,
UMTS,641,14,300,76034,122,32.587506,0.340234,473,23,1,1367945677,1461008480,-99
UMTS,641,14,300,76031,,32.587111,0.339292,0,1,1,1367945800,1367945800,
GSM,641,10,808,2973,,32.599588,0.355576,158,3,1,1368279745,1458931557,
UMTS,641,10,6008,134044,,32.601536,0.35264,481,6,1,1368279803,1469512108,
UMTS,641,22,114,75977,,32.620428,0.323029,19,6,1,1368370686,1368371850,
UMTS,641,10,6005,68733,,32.620259,0.257414,414,6,1,1368908406,1458620064,
UMTS,641,14,300,75615,,32.602966,0.277405,0,1,1,1369035272,1369035272,
UMTS,641,14,300,77095,,32.602966,0.277405,0,1,1,1369035520,1369035520,
GSM,641,22,117,21071,,32.54434,0.147923,164,20,1,1369154782,1369158683,
GSM,641,22,117,21073,,32.5441,0.14776,15,6,1,1369156026,1369432412,
GSM,641,22,117,55533,,32.544435,0.147585,37,2,1,1369158745,1369432223,
UMTS,641,22,114,75677,,32.595148,0.310063,0,1,1,1369211149,1369211149,
UMTS,641,22,114,75699,,32.594525,0.310196,71,3,1,1369211458,1369211755,
GSM,641,22,114,1,,32.594826,0.310428,0,1,1,1369211635,1369211635,
GSM,641,10,503,7515,,32.508063,0.286589,1377,3,1,1369255316,1369255432,
GSM,641,10,503,7511,,32.502737,0.284767,0,1,1,1369255496,1369255496,
GSM,641,1,600,1653,,32.579026,0.36083,35,9,1,1369308719,1369312042,
GSM,641,22,452,44021,,30.148313,-0.539207,71,3,1,1369319146,1369319329,
UMTS,641,1,8001,6628823,,30.660062,-0.594035,0,1,1,1369335738,1369335738,
UMTS,641,1,8001,6623914,,30.660214,-0.594091,0,1,1,1369335799,1369335799,
UMTS,641,10,6002,76057,,33.195791,0.439415,2,4,1,1369565814,1369565990,
UMTS,641,1,8000,6619243,,32.573964,0.291033,0,1,1,1369691060,1369691060,
UMTS,641,10,6005,77701,73,32.608125,0.340182,218,3,1,1369765588,1458620067,
GSM,641,10,905,6762,,34.142496,3.509347,44,3,1,1369932435,1369932551,
UMTS,641,14,300,76683,,32.614211,0.354655,779,17,1,1369946685,1460192879,-103
UMTS,641,14,300,75701,,32.587291,0.359003,0,1,1,1370271336,1370271336,
GSM,641,10,1002,5916,,30.089992,-0.807864,14375,3,1,1370813385,1461751252,
GSM,641,10,1002,7426,,30.144159,-0.843134,0,3,1,1370813445,1370813562,
UMTS,641,10,6007,132185,94,32.521514,0.30752,511,11,1,1371024059,1458620070,
GSM,641,10,102,1113,,32.521848,0.307577,0,2,1,1371024162,1371024182,
GSM,641,10,503,3972,,32.521957,0.306359,504,5,1,1371031231,1371031353,
UMTS,641,14,302,141580,,32.548996,0.315052,9,3,1,1371378724,1371378844,
UMTS,641,1,8002,6620795,,32.570759,0.369071,20,5,1,1371386154,1371386395,
UMTS,641,1,8002,6619733,,32.570674,0.369112,5,2,1,1371386944,1371387004,
UMTS,641,14,302,141260,,32.548906,0.315018,15,4,1,1371401309,1371401489,
UMTS,641,14,302,141581,,32.548868,0.315038,4,3,1,1371410056,1371410176,
UMTS,641,14,300,75552,102,32.588762,0.317692,232,3,1,1371461076,1464826868,
UMTS,641,14,300,75553,100,32.59061,0.32523,813,12,1,1371461135,1464826868,-102
GSM,641,22,115,10663,,32.562326,0.268764,23,4,1,1371636990,1381399773,
UMTS,641,10,6008,138618,272,32.647037,0.369245,763,7,1,1371645537,1457263463,-88
UMTS,641,22,114,75927,,32.560337,0.338884,188,4,1,1371682132,1372253243,
UMTS,641,1,8002,6619653,,32.623028,0.314597,147,3,1,1371943196,1371943314,
UMTS,641,1,8002,6619165,,32.617066,0.337992,9,3,1,1372076120,1372076241,
UMTS,641,1,8002,6619644,,32.617065,0.338028,9,2,1,1372076301,1372076361,
UMTS,641,10,6008,138614,,32.648151,0.36979,31,8,1,1372093815,1373177801,
UMTS,641,10,6008,133064,468,32.647649,0.369914,310,7,1,1372114563,1458620073,
UMTS,641,10,6008,133065,476,32.643109,0.372148,763,6,1,1372114802,1472040550,-85
GSM,641,10,605,976,,32.89483,0.373964,895,6,1,1372165310,1374058220,
UMTS,641,22,114,75928,,32.562018,0.338677,0,1,1,1372253184,1372253184,
UMTS,641,1,8001,6624073,,30.27255,0.65308,0,1,1,1372463217,1372463217,
UMTS,641,10,6005,75881,,32.600003,0.338987,320,11,1,1372678966,1469512108,
UMTS,641,10,6005,78942,14,32.598727,0.342711,2184,10,1,1372679025,1469512108,
UMTS,641,10,6005,75877,6,32.600138,0.33843,368,6,1,1372712420,1472018895,
UMTS,641,22,114,76037,,32.560762,0.35908,0,1,1,1373027707,1373027707,
UMTS,641,22,114,76027,,32.561412,0.359692,99,4,1,1373027767,1373027950,
UMTS,641,1,8002,6619333,,32.595167,0.29575,0,1,1,1373216087,1373216087,
UMTS,641,1,8002,6619330,,32.595237,0.295717,0,1,1,1373216147,1373216147,
UMTS,641,10,6001,66402,180,32.574447,0.31918,48,2,1,1373622198,1458620057,
UMTS,641,10,6008,139627,,32.649476,0.383568,563,6,1,1373817792,1458620074,
UMTS,641,10,6005,71292,,32.740531,0.354702,119,5,1,1373992447,1379872844,
UMTS,641,10,6001,69737,,32.578763,0.321077,81,3,1,1374060902,1458620057,
GSM,641,1,200,1162,,32.554386,0.16904,3,2,1,1374223464,1374223528,
GSM,641,1,200,7003,,32.554629,0.169208,15,2,1,1374223583,1374223721,
UMTS,641,10,6005,66612,,32.605206,0.294888,117,4,1,1374853480,1471007852,
UMTS,641,10,6005,78487,,32.617292,0.323242,83,5,1,1374954289,1458620067,
UMTS,641,22,114,76008,,32.602197,0.349484,0,1,1,1375281912,1375281912,
UMTS,641,10,6001,66637,100,32.535184,0.416842,15522,476,1,1375398878,1458620057,-105
UMTS,641,10,6001,66641,,32.62941,0.327534,0,1,1,1375398937,1375398937,
UMTS,641,10,6007,134358,210,32.566838,0.26146,3115,9,1,1375474493,1458620070,
UMTS,641,10,6005,73837,218,32.653539,0.33561,686,2,1,1375530671,1458620066,
UMTS,641,10,6005,74859,,32.657472,0.338834,196,2,1,1375530734,1458620066,
UMTS,641,14,302,142051,,32.657736,0.373957,16,4,1,1375835383,1375835564,
UMTS,641,10,6005,66589,232,32.614425,0.341623,939,30,1,1375876576,1472836260,-71
UMTS,641,10,6005,67897,462,32.614163,0.331628,1734,5,1,1375889145,1472673385,
UMTS,641,10,6008,134413,505,32.625878,0.363071,427,15,1,1375915312,1467840572,-78
UMTS,641,1,8000,6620324,,32.657668,0.373881,18,5,1,1375958011,1375958601,
UMTS,641,10,6009,142875,,30.66643,-0.615162,1145,5,1,1376241515,1458620078,
UMTS,641,10,6009,134257,,30.659977,-0.607007,1667,6,1,1376241574,1459423574,
UMTS,641,10,6009,134258,,30.662013,-0.607802,968,15,1,1376241638,1458620077,
UMTS,641,10,6009,134254,,30.663752,-0.606084,392,6,1,1376241697,1459836756,
UMTS,641,11,7000,65601657,,32.582619,0.326345,13,3,1,1376316641,1376316820,
GSM,641,11,1006,62164,,32.582743,0.326393,386,9,1,1376319903,1458931567,
GSM,641,11,1005,10082,,32.616922,0.358299,412,19,1,1376340687,1458931566,
UMTS,641,10,6008,143273,,32.629558,0.371871,0,1,1,1376414105,1376414105,
UMTS,641,10,6005,78542,327,32.612737,0.281369,319,4,1,1376420278,1472776239,
UMTS,641,22,114,75827,,32.56491,0.32578,0,1,1,1377089817,1377089817,
GSM,641,22,223,10283,,32.565004,0.325583,24,2,1,1377091628,1377091751,
UMTS,641,22,114,75828,,32.565099,0.325386,0,1,1,1377091690,1377091690,
UMTS,641,10,6001,78497,,32.577629,0.31499,10,5,1,1377163862,1377164102,
UMTS,641,1,8001,6625514,,33.085046,2.879676,26,3,1,1377207245,1377207544,
UMTS,641,1,8002,6620025,,32.606894,0.286776,509,41,1,1377265929,1382833408,
UMTS,641,1,8002,6620191,,32.602113,0.339034,2,3,1,1377286919,1377287033,
UMTS,641,1,8002,6627345,,32.604685,0.316744,287,8,1,1377342711,1377519671,
UMTS,641,10,6007,131224,,32.468914,0.045164,53,2,1,1377605657,1458620070,
UMTS,641,10,6007,131228,58,32.468419,0.046852,384,3,1,1377605904,1458620070,
UMTS,641,14,300,76684,,32.624317,0.348805,362,5,1,1377633858,1460192879,
UMTS,641,1,8002,6626303,,32.442042,0.044033,4,5,1,1377709953,1377710196,
UMTS,641,14,302,162931,,30.487042,-0.13521,4,3,1,1377948985,1377949104,
UMTS,641,10,6007,134354,,32.566873,0.267445,8,3,1,1378061927,1378061986,
UMTS,641,10,6005,77943,,32.637142,0.356391,0,1,1,1378146972,1378146972,
UMTS,641,1,8002,6619451,,32.585213,0.341638,0,2,1,1378294272,1378294825,
UMTS,641,1,8002,6619853,,32.585205,0.34164,1,3,1,1378294640,1378294760,
UMTS,641,14,302,171580,,30.929045,3.035827,0,1,1,1378365015,1378365015,
UMTS,641,10,6001,67201,,32.579923,0.314371,0,1,1,1378397109,1378397109,
GSM,641,22,116,58043,,32.014183,-0.002565,8,3,1,1378505412,1378505599,
GSM,641,22,116,58051,,32.014065,-0.002818,0,1,1,1378505654,1378505654,
GSM,641,10,2002,1581,,32.62681,0.256935,1376,5,1,1378674242,1458931562,
GSM,641,10,2002,4143,,32.62502,0.252689,870,2,1,1378674420,1458931562,
UMTS,641,10,6009,134673,,30.143748,-0.546072,524,16,1,1378935340,1458620077,
UMTS,641,10,6002,68108,,34.173535,1.09817,625,4,1,1379025058,1458620060,
UMTS,641,1,8002,6619903,,32.576208,0.328279,12,4,1,1379150629,1379150807,
UMTS,641,1,8002,6619483,,32.576285,0.32827,0,1,1,1379150867,1379150867,
UMTS,641,10,6001,75582,,32.566117,0.326051,15,2,1,1379338188,1379338249,
UMTS,641,10,6001,75578,,32.5659,0.325974,0,1,1,1379338308,1379338308,
UMTS,641,10,6001,66031,,32.566227,0.325804,0,1,1,1379339199,1379339199,
GSM,641,14,1000,10133,,32.564022,0.316083,0,1,1,1379347043,1379347043,
UMTS,641,14,300,75675,,32.563969,0.31604,0,1,1,1379347103,1379347103,
UMTS,641,14,300,76384,140,32.579045,0.314831,357,33,1,1379511946,1461008480,-94
UMTS,641,10,6001,67198,,32.580294,0.314444,21,3,1,1379511947,1379512977,
UMTS,641,14,300,76381,,32.579983,0.314042,196,5,1,1379512066,1471972220,
GSM,641,10,708,8461,,32.580398,0.314542,0,1,1,1379512112,1379512112,
UMTS,641,10,6001,74001,,32.580605,0.314332,57,3,1,1379512127,1414168689,
UMTS,641,14,300,75664,,32.572695,0.333165,326,4,1,1379512546,1379512978,
GSM,641,10,701,716,,32.58038,0.314048,0,1,1,1379512718,1379512718,
GSM,641,10,701,1665,,32.580313,0.314447,12,3,1,1379512778,1379513159,
UMTS,641,14,300,75924,,32.626965,0.341806,691,6,1,1379513378,1467731984,
UMTS,641,22,114,76467,,32.622377,0.26744,12,9,1,1379598036,1379599522,
UMTS,641,1,8002,6627354,,32.615083,0.319802,773,4,1,1379772745,1379929836,
UMTS,641,1,8002,6620904,,32.605108,0.324863,0,1,1,1379772926,1379772926,
UMTS,641,1,8002,6619813,,32.602132,0.323415,0,1,1,1379772985,1379772985,
UMTS,641,10,6005,77922,,32.740296,0.353577,6,2,1,1379873017,1379873082,
UMTS,641,1,8002,6620023,,32.607526,0.285019,109,12,1,1380122651,1382825998,
UMTS,641,10,6002,66318,,34.260779,0.639847,60,4,1,1380287441,1458620060,
UMTS,641,10,6002,50594049,,34.260651,0.639754,19,2,1,1380287619,1380287678,
UMTS,641,10,6001,66121,,32.591908,0.319694,0,1,1,1380444826,1380444826,
GSM,641,22,221,45812,,32.533313,1.983978,1,4,1,1380476391,1380476631,
GSM,641,22,221,45813,,32.533309,1.983979,0,1,1,1380477133,1380477133,
UMTS,641,22,114,76817,,32.618223,0.322845,22,8,1,1380981388,1380981879,
UMTS,641,10,6005,66593,232,32.612349,0.34396,433,6,1,1381141589,1471621490,
UMTS,641,10,6007,142205,,32.546234,0.210058,11,2,1,1381992207,1381992388,
UMTS,641,10,6007,136203,,32.546374,0.210189,8,2,1,1381992267,1381992331,
UMTS,641,10,6007,134373,,32.557474,0.28617,0,1,1,1382128475,1382128475,
UMTS,641,10,6007,134375,,32.557474,0.28617,0,1,1,1382128598,1382128598,
UMTS,641,22,114,76397,,32.647725,0.341378,4,4,1,1382272519,1382272696,
GSM,641,22,225,11332,,32.647731,0.341359,0,1,1,1382272542,1382272542,
UMTS,641,22,114,76499,,32.647714,0.341382,0,1,1,1382272595,1382272595,
GSM,641,22,225,10962,,32.647736,0.341364,0,1,1,1382272654,1382272654,
UMTS,641,22,114,76278,,32.647679,0.341533,19,3,1,1382272716,1382771797,
UMTS,641,22,114,75997,,32.647711,0.341576,0,1,1,1382272756,1382272756,
UMTS,641,10,6007,140165,,32.452281,0.038288,512,5,1,1382301233,1393848112,
UMTS,641,10,6008,132988,156,32.565092,0.348177,65,6,1,1382335732,1470275040,
UMTS,641,10,6008,132984,156,32.565135,0.350802,340,5,1,1382335791,1470275040,
UMTS,641,10,6001,68348,,32.565097,0.347842,0,1,1,1382337483,1382337483,
UMTS,641,10,6009,146974,299,30.496241,-0.13261,470,11,1,1382378216,1470718267,-73
UMTS,641,14,300,75855,,32.586914,0.314617,157,3,1,1382440094,1458620080,
UMTS,641,1,8002,6627255,,32.573953,0.305671,5,8,1,1382484051,1382484616,
UMTS,641,1,8002,6619484,,32.573974,0.305665,0,1,1,1382484375,1382484375,
